"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"232",8,9,4,1,0,0,0,0,0,0,0,0,0,1
"233",8,11,1,0,0,0,0,0,0,1,0,1,3000,0
"234",8,11,2,0,1,1,0,0,0,0,0,1,4800,0
"235",8,11,3,0,1,0,1,0,0,0,1,0,2400,0
"236",8,11,4,1,0,0,0,0,0,0,0,0,0,1
"237",8,12,1,0,1,0,0,0,0,0,1,1,1200,0
"238",8,12,2,0,0,0,1,0,0,1,0,0,4800,0
"239",8,12,3,0,0,0,0,1,1,0,0,0,3000,0
"240",8,12,4,1,0,0,0,0,0,0,0,0,0,1
"241",11,1,1,0,0,1,0,0,0,1,0,1,3000,0
"242",11,1,2,0,1,0,0,0,0,0,1,1,2400,0
"243",11,1,3,0,1,0,0,1,0,0,0,0,4800,0
"244",11,1,4,1,0,0,0,0,0,0,0,0,0,1
"245",11,2,1,0,1,0,0,1,0,0,0,1,1200,0
"246",11,2,2,0,0,0,1,0,1,0,0,0,1800,0
"247",11,2,3,0,0,0,0,0,0,1,0,0,4800,0
"248",11,2,4,1,0,0,0,0,0,0,0,0,0,1
"249",11,3,1,0,0,0,1,0,1,0,0,1,3000,0
"250",11,3,2,0,0,0,0,0,0,0,0,1,1800,0
"251",11,3,3,0,1,1,0,0,0,0,1,0,2400,0
"252",11,3,4,1,0,0,0,0,0,0,0,0,0,1
"253",11,4,1,0,1,1,0,0,0,1,0,0,3000,0
"254",11,4,2,0,0,0,1,0,0,0,1,1,4800,0
"255",11,4,3,0,1,0,0,1,1,0,0,0,1200,0
"256",11,4,4,1,0,0,0,0,0,0,0,0,0,1
"257",11,6,1,0,1,0,1,0,1,0,0,1,3000,0
"258",11,6,2,0,1,0,0,0,0,0,1,1,1800,0
"259",11,6,3,0,0,0,0,1,0,1,0,0,4800,0
"260",11,6,4,1,0,0,0,0,0,0,0,0,0,1
"261",11,8,1,0,1,0,0,0,1,0,0,0,4800,0
"262",11,8,2,0,1,0,1,0,0,0,1,0,3000,0
"263",11,8,3,0,0,1,0,0,0,0,0,1,2400,0
"264",11,8,4,1,0,0,0,0,0,0,0,0,0,1
"265",11,9,1,0,0,0,1,0,0,1,0,0,1200,0
"266",11,9,2,0,0,0,0,1,0,0,1,0,2400,0
"267",11,9,3,0,1,1,0,0,1,0,0,1,4800,0
"268",11,9,4,1,0,0,0,0,0,0,0,0,0,1
"269",11,10,1,0,1,0,0,0,0,0,0,1,1200,0
"270",11,10,2,0,0,0,0,1,1,0,0,0,1800,0
"271",11,10,3,0,1,1,0,0,0,0,1,1,3000,0
"272",11,10,4,1,0,0,0,0,0,0,0,0,0,1
"273",11,11,1,0,1,0,1,0,0,1,0,1,1800,0
"274",11,11,2,0,1,1,0,0,0,0,1,0,1200,0
"275",11,11,3,0,0,0,0,0,0,0,0,0,3000,0
"276",11,11,4,1,0,0,0,0,0,0,0,0,0,1
"277",11,12,1,0,1,0,0,0,1,0,0,0,2400,0
"278",11,12,2,0,0,0,1,0,0,0,0,1,4800,0
"279",11,12,3,0,0,0,0,1,0,1,0,1,1200,0
"280",11,12,4,1,0,0,0,0,0,0,0,0,0,1
"281",12,1,1,0,0,0,1,0,0,1,0,0,2400,0
"282",12,1,2,0,1,0,0,1,0,0,0,1,3000,0
"283",12,1,3,0,0,0,0,0,0,0,1,1,4800,0
"284",12,1,4,1,0,0,0,0,0,0,0,0,0,1
"285",12,2,1,0,1,0,0,1,0,0,0,0,4800,0
"286",12,2,2,0,0,0,1,0,0,0,1,1,2400,0
"287",12,2,3,0,1,1,0,0,1,0,0,0,1800,0
"288",12,2,4,1,0,0,0,0,0,0,0,0,0,1
"289",12,3,1,0,1,0,0,0,0,1,0,1,1200,0
"290",12,3,2,0,0,0,1,0,0,0,0,0,1800,0
"291",12,3,3,0,0,1,0,0,1,0,0,0,3000,0
"292",12,3,4,1,0,0,0,0,0,0,0,0,0,1
"293",12,4,1,0,1,1,0,0,0,1,0,1,1800,0
"294",12,4,2,0,1,0,0,1,1,0,0,1,2400,0
"295",12,4,3,0,0,0,0,0,0,0,1,0,1200,0
"296",12,4,4,1,0,0,0,0,0,0,0,0,0,1
"297",12,5,1,0,1,0,1,0,0,0,1,0,4800,0
"298",12,5,2,0,0,0,0,0,1,0,0,1,1200,0
"299",12,5,3,0,0,1,0,0,0,0,0,1,3000,0
"300",12,5,4,1,0,0,0,0,0,0,0,0,0,1
"301",12,7,1,0,1,0,1,0,1,0,0,0,1200,0
"302",12,7,2,0,1,0,0,1,0,0,1,1,1800,0
"303",12,7,3,0,0,0,0,0,0,1,0,0,2400,0
"304",12,7,4,1,0,0,0,0,0,0,0,0,0,1
"305",12,8,1,0,0,0,0,1,0,0,1,1,3000,0
"306",12,8,2,0,1,0,0,0,0,1,0,0,4800,0
"307",12,8,3,0,0,1,0,0,0,0,0,1,1800,0
"308",12,8,4,1,0,0,0,0,0,0,0,0,0,1
"309",12,9,1,0,0,0,0,1,1,0,0,0,4800,0
"310",12,9,2,0,1,0,1,0,0,0,1,1,2400,0
"311",12,9,3,0,0,1,0,0,0,1,0,0,1200,0
"312",12,9,4,1,0,0,0,0,0,0,0,0,0,1
"313",12,10,1,0,1,0,0,0,0,0,0,1,3000,0
"314",12,10,2,0,0,0,1,0,0,0,1,0,1800,0
"315",12,10,3,0,1,1,0,0,0,1,0,1,4800,0
"316",12,10,4,1,0,0,0,0,0,0,0,0,0,1
"317",12,11,1,0,0,0,0,1,1,0,0,1,2400,0
"318",12,11,2,0,0,0,1,0,0,1,0,1,3000,0
"319",12,11,3,0,1,0,0,0,0,0,0,0,1800,0
"320",12,11,4,1,0,0,0,0,0,0,0,0,0,1
"321",13,2,1,0,0,0,1,0,0,0,0,0,3000,0
"322",13,2,2,0,1,0,0,1,0,1,0,1,1800,0
"323",13,2,3,0,1,0,0,0,0,0,1,1,2400,0
"324",13,2,4,1,0,0,0,0,0,0,0,0,0,1
"325",13,3,1,0,0,1,0,0,0,1,0,1,4800,0
"326",13,3,2,0,1,0,0,1,1,0,0,0,1200,0
"327",13,3,3,0,1,0,1,0,0,0,0,1,2400,0
"328",13,3,4,1,0,0,0,0,0,0,0,0,0,1
"329",13,4,1,0,0,0,0,1,0,1,0,0,1800,0
"330",13,4,2,0,0,1,0,0,0,0,1,0,4800,0
"331",13,4,3,0,1,0,0,0,1,0,0,1,3000,0
"332",13,4,4,1,0,0,0,0,0,0,0,0,0,1
"333",13,5,1,0,0,0,0,0,1,0,0,0,2400,0
"334",13,5,2,0,1,0,1,0,0,1,0,0,3000,0
"335",13,5,3,0,0,0,0,1,0,0,0,1,1200,0
"336",13,5,4,1,0,0,0,0,0,0,0,0,0,1
"337",13,6,1,0,1,0,1,0,1,0,0,1,1800,0
"338",13,6,2,0,0,0,0,0,0,1,0,0,1200,0
"339",13,6,3,0,1,1,0,0,0,0,1,1,4800,0
"340",13,6,4,1,0,0,0,0,0,0,0,0,0,1
"341",13,7,1,0,1,1,0,0,0,0,0,0,1800,0
"342",13,7,2,0,0,0,0,0,0,1,0,1,2400,0
"343",13,7,3,0,0,0,0,1,0,0,1,1,1200,0
"344",13,7,4,1,0,0,0,0,0,0,0,0,0,1
"345",13,8,1,0,0,0,1,0,0,0,0,1,4800,0
"346",13,8,2,0,1,1,0,0,1,0,0,0,2400,0
"347",13,8,3,0,1,0,0,1,0,0,1,0,3000,0
"348",13,8,4,1,0,0,0,0,0,0,0,0,0,1
"349",13,10,1,0,0,0,0,1,0,0,1,0,1800,0
"350",13,10,2,0,1,1,0,0,0,1,0,1,2400,0
"351",13,10,3,0,0,0,1,0,1,0,0,0,1200,0
"352",13,10,4,1,0,0,0,0,0,0,0,0,0,1
"353",13,11,1,0,0,1,0,0,0,1,0,1,1800,0
"354",13,11,2,0,0,0,0,1,0,0,0,1,3000,0
"355",13,11,3,0,1,0,0,0,0,0,1,0,4800,0
"356",13,11,4,1,0,0,0,0,0,0,0,0,0,1
"357",13,12,1,0,1,0,0,0,0,0,0,0,1800,0
"358",13,12,2,0,1,0,1,0,0,0,1,0,3000,0
"359",13,12,3,0,0,0,0,1,1,0,0,1,4800,0
"360",13,12,4,1,0,0,0,0,0,0,0,0,0,1
"361",14,1,1,0,1,1,0,0,0,0,1,1,1200,0
"362",14,1,2,1,0,0,0,0,0,1,0,0,3000,0
"363",14,1,3,0,0,0,0,1,0,0,0,0,2400,0
"364",14,1,4,0,0,0,0,0,0,0,0,0,0,1
"365",14,2,1,1,1,0,0,1,0,1,0,1,2400,0
"366",14,2,2,0,0,1,0,0,0,0,0,0,1200,0
"367",14,2,3,0,1,0,1,0,1,0,0,1,1800,0
"368",14,2,4,0,0,0,0,0,0,0,0,0,0,1
"369",14,3,1,0,1,0,0,1,0,0,0,1,3000,0
"370",14,3,2,1,0,0,0,0,0,0,1,1,4800,0
"371",14,3,3,0,1,0,1,0,1,0,0,0,1200,0
"372",14,3,4,0,0,0,0,0,0,0,0,0,0,1
"373",14,4,1,0,0,0,1,0,0,0,1,0,2400,0
"374",14,4,2,0,1,0,0,0,1,0,0,1,4800,0
"375",14,4,3,0,0,1,0,0,0,1,0,0,1800,0
"376",14,4,4,1,0,0,0,0,0,0,0,0,0,1
"377",14,6,1,1,1,1,0,0,0,0,0,0,2400,0
"378",14,6,2,0,1,0,0,1,0,1,0,0,4800,0
"379",14,6,3,0,0,0,0,0,1,0,0,1,3000,0
"380",14,6,4,0,0,0,0,0,0,0,0,0,0,1
"381",14,7,1,0,1,1,0,0,0,0,1,0,3000,0
"382",14,7,2,0,0,0,1,0,0,0,0,1,2400,0
"383",14,7,3,1,1,0,0,0,0,1,0,1,1200,0
"384",14,7,4,0,0,0,0,0,0,0,0,0,0,1
"385",14,9,1,1,1,0,0,0,0,0,0,0,1800,0
"386",14,9,2,0,0,1,0,0,1,0,0,1,3000,0
"387",14,9,3,0,1,0,0,1,0,0,1,1,2400,0
"388",14,9,4,0,0,0,0,0,0,0,0,0,0,1
"389",14,10,1,1,1,0,0,1,0,0,1,1,1200,0
"390",14,10,2,0,0,0,1,0,0,1,0,0,3000,0
"391",14,10,3,0,0,0,0,0,0,0,0,0,4800,0
"392",14,10,4,0,0,0,0,0,0,0,0,0,0,1
"393",14,11,1,1,0,1,0,0,1,0,0,1,1800,0
"394",14,11,2,0,0,0,0,1,0,0,0,0,4800,0
"395",14,11,3,0,1,0,1,0,0,1,0,0,2400,0
"396",14,11,4,0,0,0,0,0,0,0,0,0,0,1
"397",14,12,1,0,1,0,1,0,0,0,1,1,1800,0
"398",14,12,2,0,1,1,0,0,0,1,0,1,3000,0
"399",14,12,3,1,0,0,0,0,1,0,0,0,2400,0
"400",14,12,4,0,0,0,0,0,0,0,0,0,0,1
"401",15,1,1,0,0,1,0,0,0,0,1,1,4800,0
"402",15,1,2,0,0,0,1,0,0,0,0,1,1200,0
"403",15,1,3,0,1,0,0,0,1,0,0,0,3000,0
"404",15,1,4,1,0,0,0,0,0,0,0,0,0,1
"405",15,2,1,0,1,1,0,0,1,0,0,0,1200,0
"406",15,2,2,0,1,0,0,1,0,1,0,0,1800,0
"407",15,2,3,0,0,0,0,0,0,0,1,1,2400,0
"408",15,2,4,1,0,0,0,0,0,0,0,0,0,1
"409",15,3,1,0,1,0,0,0,0,0,1,0,1800,0
"410",15,3,2,0,1,0,0,1,0,0,0,1,3000,0
"411",15,3,3,0,0,0,1,0,0,1,0,0,4800,0
"412",15,3,4,1,0,0,0,0,0,0,0,0,0,1
"413",15,4,1,0,0,0,1,0,1,0,0,1,1800,0
"414",15,4,2,0,0,0,0,1,0,1,0,1,2400,0
"415",15,4,3,0,1,1,0,0,0,0,0,0,1200,0
"416",15,4,4,1,0,0,0,0,0,0,0,0,0,1
"417",15,5,1,0,1,1,0,0,1,0,0,1,4800,0
"418",15,5,2,0,1,0,0,0,0,1,0,1,1200,0
"419",15,5,3,0,0,0,1,0,0,0,1,0,3000,0
"420",15,5,4,1,0,0,0,0,0,0,0,0,0,1
"421",15,7,1,0,1,0,1,0,1,0,0,0,2400,0
"422",15,7,2,0,0,1,0,0,0,0,0,1,1800,0
"423",15,7,3,0,1,0,0,1,0,1,0,0,3000,0
"424",15,7,4,1,0,0,0,0,0,0,0,0,0,1
"425",15,8,1,0,1,0,0,0,0,0,0,0,1800,0
"426",15,8,2,0,0,0,0,1,0,0,1,1,1200,0
"427",15,8,3,0,0,1,0,0,0,1,0,1,2400,0
"428",15,8,4,1,0,0,0,0,0,0,0,0,0,1
"429",15,9,1,0,1,0,0,0,0,0,0,1,3000,0
"430",15,9,2,0,1,1,0,0,0,0,1,0,2400,0
"431",15,9,3,0,0,0,0,1,1,0,0,0,4800,0
