"respnum";"probit";"logit";"agree";"probinside";"howmany";"pm_outhit_logit";"pm_outhit_probit";"type_observed";"probit_max";"logit_max"
"29";0.096;0.025;TRUE;1;4;0.2075;0.2485;"In";"Info rich";"Info rich"
"30";0.009;0.037;TRUE;0.857142857142857;5;0.7065;0.686;"Mix";"Info rich";"Info rich"
"31";0;0.001;TRUE;0.428571428571429;4;0.5225;0.4825;"Mix";"Info rich";"Info rich"
"32";0.545;0.657;TRUE;1;3;0.2605;0.2965;"In";"Info poor";"Info poor"
"33";0;0;TRUE;0;1;0.9545;0.9475;"Out";"Info rich";"Info rich"
"34";0;0.363;TRUE;0.571428571428571;5;0.1435;0.171;"Mix";"Info rich";"Info rich"
"35";0;0;TRUE;0;1;0.965;0.952;"Out";"Info rich";"Info rich"
"36";0.586;0.717;TRUE;0.714285714285714;5;0.2285;0.273;"Mix";"Info poor";"Info poor"
"37";0;0.007;TRUE;0.357142857142857;4;0.2155;0.2165;"Mix";"Info rich";"Info rich"
"38";0;0.351;TRUE;0.642857142857143;4;0.3265;0.353;"Mix";"Info rich";"Info rich"
"39";0;0.002;TRUE;0.285714285714286;5;0.5775;0.5685;"Mix";"Info rich";"Info rich"
"40";0.137;0.227;TRUE;0.928571428571429;5;0.512;0.7475;"Mix";"Info rich";"Info rich"
"41";0;0.001;TRUE;0.142857142857143;3;0.8735;0.837;"Mix";"Info rich";"Info rich"
"42";0;0;TRUE;1;4;0.7215;0.624;"In";"Info rich";"Info rich"
"43";0;0.003;TRUE;0.357142857142857;3;0.589;0.4985;"Mix";"Info rich";"Info rich"
"44";0.438;0.198;TRUE;1;4;0.286;0.2995;"In";"Info rich";"Info rich"
"45";0.924;0.924;TRUE;1;3;0.2675;0.276;"In";"Info poor";"Info poor"
"46";0.861;0.874;TRUE;1;3;0.197;0.215;"In";"Info poor";"Info poor"
"47";0;0;TRUE;1;4;0.8125;0.6965;"In";"Info rich";"Info rich"
"48";0;0.002;TRUE;1;4;0.7475;0.7135;"In";"Info rich";"Info rich"
"49";0.095;0.067;TRUE;1;4;0.1165;0.115;"In";"Info rich";"Info rich"
"50";0;0;TRUE;1;4;0.4875;0.5315;"In";"Info rich";"Info rich"
"51";0.77;0.968;TRUE;1;4;0.24;0.248;"In";"Info poor";"Info poor"
"52";0;0.081;TRUE;0.714285714285714;5;0.451;0.5075;"Mix";"Info rich";"Info rich"
"53";0;0;TRUE;1;4;0.3585;0.3595;"In";"Info rich";"Info rich"
"54";0.129;0.017;TRUE;1;4;0.4485;0.4335;"In";"Info rich";"Info rich"
"55";0.078;0.014;TRUE;1;4;0.44;0.4995;"In";"Info rich";"Info rich"
"56";0;0;TRUE;0.357142857142857;3;0.634;0.6045;"Mix";"Info rich";"Info rich"
"57";0;0.001;TRUE;1;4;0.416;0.487;"In";"Info rich";"Info rich"
"58";0;0.088;TRUE;0.428571428571429;4;0.6485;0.6585;"Mix";"Info rich";"Info rich"
"59";0;0.001;TRUE;1;4;0.8445;0.8665;"In";"Info rich";"Info rich"
"60";0;0.01;TRUE;0.857142857142857;5;0.3075;0.2425;"Mix";"Info rich";"Info rich"
"61";0.031;0.01;TRUE;0.571428571428571;4;0.402;0.324;"Mix";"Info rich";"Info rich"
"62";0.921;0.985;TRUE;0.714285714285714;5;0.359;0.38;"Mix";"Info poor";"Info poor"
"63";0;0;TRUE;0.714285714285714;5;0.847;0.858;"Mix";"Info rich";"Info rich"
"64";0.017;0.035;TRUE;1;4;0.5355;0.628;"In";"Info rich";"Info rich"
"65";0;0;TRUE;0.357142857142857;3;0.562;0.571;"Mix";"Info rich";"Info rich"
"66";0;0;TRUE;0;1;0.987;0.968;"Out";"Info rich";"Info rich"
"67";0;0;TRUE;1;4;0.6925;0.697;"In";"Info rich";"Info rich"
"68";0;0;TRUE;1;3;0.652;0.734;"In";"Info rich";"Info rich"
"69";0;0.001;TRUE;1;4;0.4935;0.471;"In";"Info rich";"Info rich"
"70";0;0;TRUE;0.714285714285714;5;0.7595;0.7365;"Mix";"Info rich";"Info rich"
"71";0.888;0.47;FALSE;1;4;0.3785;0.3315;"In";"Info poor";"Info rich"
"72";0;0.223;TRUE;0.357142857142857;3;0.627;0.601;"Mix";"Info rich";"Info rich"
"73";0.08;0.026;TRUE;1;4;0.3685;0.2995;"In";"Info rich";"Info rich"
"74";0;0.061;TRUE;0.785714285714286;5;0.17;0.2125;"Mix";"Info rich";"Info rich"
"75";0.273;0.057;TRUE;0.785714285714286;4;0.4985;0.4185;"Mix";"Info rich";"Info rich"
"76";0;0;TRUE;0.571428571428571;5;0.26;0.274;"Mix";"Info rich";"Info rich"
"77";0.631;0.731;TRUE;1;1;0.332;0.3425;"In";"Info poor";"Info poor"
"78";0.344;0.679;FALSE;0.357142857142857;2;0.1915;0.1785;"Mix";"Info rich";"Info poor"
"79";0.1;0.01;TRUE;0.928571428571429;5;0.3085;0.335;"Mix";"Info rich";"Info rich"
"80";0.002;0;TRUE;0.857142857142857;5;0.604;0.571;"Mix";"Info rich";"Info rich"
"81";0.197;0.952;FALSE;0.714285714285714;4;0.314;0.6105;"Mix";"Info rich";"Info poor"
"82";0;0;TRUE;1;4;0.764;0.727;"In";"Info rich";"Info rich"
"83";0;0;TRUE;1;4;0.798;0.773;"In";"Info rich";"Info rich"
"84";0.026;0;TRUE;1;4;0.7295;0.5495;"In";"Info rich";"Info rich"
"85";0.64;0.949;TRUE;0.928571428571429;5;0.246;0.2695;"Mix";"Info poor";"Info poor"
"86";0;0;TRUE;0.928571428571429;5;0.6315;0.587;"Mix";"Info rich";"Info rich"
