"","segMem","outOfSampleHitRates","inSampleHitRates","segLabel"
"131","0.00112","0.66258","0.63418","Info Rich"
"132","0.00284","0.50064","0.4993625","Info Rich"
"133","0.22216","0.10866","0.364915","Info Rich"
"134","0.00012","0.9925","0.8524025","Info Rich"
"135","0.0014","0.44302","0.6326675","Info Rich"
"136","0.00428","0.72966","0.5105575","Info Rich"
"137","0.007","0.37586","0.4915775","Info Rich"
"138","0.00032","0.46422","0.5670425","Info Rich"
"139","0.07648","0.6216","0.507005","Info Rich"
"140","0.03496","0.51216","0.472565","Info Rich"
"141","0.00012","0.6212","0.7000225","Info Rich"
"142","0.011","0.22936","0.4856825","Info Rich"
"143","0.00116","0.87586","0.6251225","Info Rich"
"144","0.00108","0.95348","0.641005","Info Rich"
"145","0.7878","0.36624","0.260285","Info Poor"
"146","0.94188","0.26306","0.239495","Info Poor"
"147","0.3686","0.35462","0.3845775","Info Rich"
"148","0.38036","0.39828","0.4462","Info Rich"
"149","0.99628","0.25018","0.2032025","Info Poor"
"150","0.99576","0.24748","0.20117","Info Poor"
"151","0.00028","0.6617","0.6792425","Info Rich"
"152","0.00016","0.71824","0.5961975","Info Rich"
"153","0.00012","0.68152","0.6044075","Info Rich"
"154","0.0384","0.41292","0.51074","Info Rich"
"155","0.00748","0.5821","0.4944425","Info Rich"
"156","4e-05","0.22736","0.6997875","Info Rich"
"157","0.36592","0.43106","0.3995","Info Rich"
"158","0.00024","0.72362","0.6161425","Info Rich"
"159","0.00208","0.74848","0.5603625","Info Rich"
"160","0.24492","0.50126","0.4556925","Info Rich"
"161","0.99776","0.22626","0.2006875","Info Poor"
"162","0.89476","0.249","0.2238575","Info Poor"
"163","0.04428","0.34916","0.5276375","Info Rich"
"164","0.646","0.33464","0.2679925","Info Poor"
"165","0","0.46452","0.6841375","Info Rich"
"166","2e-04","0.39392","0.609935","Info Rich"
"167","2e-04","0.16324","0.6482675","Info Rich"
"168","0.00116","0.2637","0.64085","Info Rich"
"169","0.99248","0.19108","0.197565","Info Poor"
"170","0.17156","0.41344","0.43193","Info Rich"
"171","0.00016","0.63746","0.6359025","Info Rich"
"172","0","0.72714","0.671035","Info Rich"
"173","0.1316","0.5292","0.4776775","Info Rich"
"174","0.00012","0.77776","0.7516375","Info Rich"
"175","0.99988","0.22012","0.1898375","Info Poor"
"176","0.00244","0.28664","0.4947925","Info Rich"
"177","0.60224","0.28704","0.316385","Info Poor"
"178","0.00024","0.68268","0.6689525","Info Rich"
"179","0","0.94344","0.72373","Info Rich"
"180","0.07588","0.29452","0.4816425","Info Rich"
"181","0.9596","0.21632","0.2192825","Info Poor"
"182","0.01812","0.43736","0.5725125","Info Rich"
"183","1","0.22076","0.1860175","Info Poor"
"184","0","0.92862","0.794675","Info Rich"
"185","0.08704","0.81414","0.4763825","Info Rich"
"186","0.00328","0.36214","0.48279","Info Rich"
"187","0.08784","0.84394","0.5157925","Info Rich"
"188","0.98652","0.2092","0.2254325","Info Poor"
"189","0","0.86486","0.7828325","Info Rich"
"190","0.25816","0.58364","0.4685375","Info Rich"
"191","0.00172","0.10696","0.5628575","Info Rich"
"192","0.02952","0.36294","0.495215","Info Rich"
"193","2e-04","0.75774","0.56084","Info Rich"
"194","0","0.93888","0.8154225","Info Rich"
"195","0.99992","0.35858","0.2782075","Info Poor"
"196","0.00344","0.94458","0.55727","Info Rich"
"197","0.80596","0.21856","0.2340525","Info Poor"
"198","0.00024","0.2252","0.593615","Info Rich"
"199","0.97108","0.22184","0.20822","Info Poor"
"200","0.9974","0.26022","0.2076525","Info Poor"
"201","0.00012","0.97746","0.857575","Info Rich"
"202","0.00028","0.46074","0.6077825","Info Rich"
"203","0.99428","0.24388","0.2017","Info Poor"
"204","0.48128","0.65768","0.4470375","Info Rich"
"205","4e-05","0.91106","0.7337775","Info Rich"
"206","8e-05","0.97142","0.848985","Info Rich"
"207","0.99952","0.20166","0.19031","Info Poor"
"208","0.00012","0.96694","0.6845575","Info Rich"
"209","0.9724","0.2418","0.2038025","Info Poor"
"210","0.00092","0.94578","0.7077775","Info Rich"
"211","4e-05","0.89566","0.66322","Info Rich"
"212","0.00204","0.48398","0.6286475","Info Rich"
"213","0.00088","0.57362","0.589425","Info Rich"
"214","0.00068","0.6507","0.6005","Info Rich"
"215","0","0.64128","0.780025","Info Rich"
"216","4e-05","0.82556","0.7414675","Info Rich"
"217","0.25112","0.26704","0.376345","Info Rich"
"218","0","0.68374","0.7015775","Info Rich"
"219","8e-05","0.83574","0.69295","Info Rich"
"220","0","0.85448","0.786275","Info Rich"
"221","0.92968","0.23894","0.2291575","Info Poor"
"222","0.0136","0.70668","0.5731725","Info Rich"
"223","0.9996","0.20544","0.1996675","Info Poor"
"224","0","0.95972","0.80823","Info Rich"
"225","0.00036","0.4983","0.6219825","Info Rich"
"226","0.00076","0.75952","0.539575","Info Rich"
"227","0","0.87116","0.8144375","Info Rich"
"228","0.00032","0.50684","0.601695","Info Rich"
"229","0.05092","0.62096","0.480765","Info Rich"
"230","0.00024","0.18928","0.5834725","Info Rich"
"231","0.00132","0.6306","0.60823","Info Rich"
"232","0.00712","0.263","0.5325725","Info Rich"
"233","0","0.98484","0.8616475","Info Rich"
"234","0.00012","0.98478","0.861005","Info Rich"
"235","0.9774","0.29014","0.24586","Info Poor"
"236","0.99956","0.199","0.200995","Info Poor"
"237","0.00756","0.3236","0.478085","Info Rich"
"238","0.00012","0.39406","0.7272175","Info Rich"
"239","0.0436","0.42444","0.5084025","Info Rich"
"240","4e-05","0.42996","0.614155","Info Rich"
"241","0.99484","0.22284","0.2072825","Info Poor"
"242","0.01688","0.87846","0.608045","Info Rich"
"243","8e-05","0.79486","0.647515","Info Rich"
"244","0.3168","0.4774","0.415225","Info Rich"
"245","4e-05","0.40694","0.6821575","Info Rich"
"246","4e-05","0.20872","0.6142175","Info Rich"
"247","0.00304","0.5242","0.6259025","Info Rich"
"248","0","0.86694","0.7792275","Info Rich"
"249","0.0062","0.44404","0.4802525","Info Rich"
"250","0.00296","0.28066","0.5755325","Info Rich"
"251","0.01508","0.30108","0.5352775","Info Rich"
"252","4e-05","0.98782","0.84342","Info Rich"
"253","8e-05","0.90056","0.7362075","Info Rich"
"254","0","0.86742","0.7583725","Info Rich"
"255","0.06828","0.53672","0.3925625","Info Rich"
"256","0.00104","0.7769","0.5974675","Info Rich"
"257","0.00116","0.54738","0.68794","Info Rich"
"258","0","0.63906","0.8281275","Info Rich"
"259","0.00096","0.56452","0.5623275","Info Rich"
